Sample,CAT SUM,Si,Fe,Mg,Mn,Ca,Ti,Total,Mg#,Unit
BBC6-Ol-1,1.59,1.03,0.6,1.33,0.01,0,0,2.97,68.9,BRD
BBC6-Ol-2,1.6,1.03,0.61,1.32,0.01,0,0,2.97,68.3,BRD
BBC6-Ol-3,1.59,1.03,0.6,1.33,0.01,0,0,2.97,68.8,BRD
BBC6-Ol-4,1.59,1.03,0.6,1.33,0.01,0,0,2.97,69,BRD
BBC6-Ol-5,1.59,1.03,0.6,1.32,0.01,0,0,2.97,68.9,BRD
BBC6-Ol-6,1.59,1.04,0.59,1.32,0.01,0,0,2.96,69.1,BRD
Average,1.59,1.03,0.6,1.33,0.01,0,0,2.97,68.8,BRD
BBC13-Ol-1,1.65,1.03,0.79,1.13,0.01,0,0,2.97,58.7,BRD
BBC13-Ol-2,1.66,1.03,0.8,1.12,0.01,0.01,0,2.97,58.3,BRD
BBC13-Ol-3,1.66,1.03,0.81,1.12,0.01,0,0,2.97,58,BRD
BBC13-Ol-4,1.67,1.04,0.85,1.06,0.01,0,0,2.96,55.5,BRD
BBC13-Ol-5,1.68,1.04,0.89,1.02,0.01,0.01,0,2.96,53.5,BRD
BBC13-Ol-6,1.66,1.04,0.81,1.11,0.01,0,0,2.96,57.7,BRD
Average,1.66,1.03,0.83,1.09,0.01,0,0,2.97,57,BRD
BBC14-Ol-1,1.68,1.04,0.88,1.03,0.02,0,0,2.96,54,BRD
BBC14-Ol-2,1.68,1.04,0.87,1.04,0.01,0,0,2.96,54.6,BRD
BBC14-Ol-3,1.68,1.03,0.88,1.04,0.02,0,0,2.97,54.1,BRD
BBC14-Ol-4,1.67,1.04,0.86,1.05,0.01,0,0,2.96,55,BRD
BBC14-Ol-5,1.67,1.04,0.85,1.06,0.01,0,0,2.96,55.4,BRD
BBC14-Ol-6,1.68,1.03,0.86,1.06,0.01,0,0,2.97,55,BRD
Average,1.68,1.04,0.87,1.05,0.01,0,0,2.96,54.7,BRD
SBI10-Ol-1,1.72,1.04,1,0.89,0.02,0.01,0,2.96,47.2,BRD
SBI10-Ol-2,1.75,1.03,1.09,0.83,0.01,0.01,0,2.97,43.2,BRD
SBI10-Ol-3,1.73,1.04,1.02,0.88,0.02,0.01,0,2.96,46.2,BRD
SBI10-Ol-4,1.7,1.04,0.94,0.96,0.01,0.01,0,2.96,50.6,BRD
SBI10-Ol-5,1.71,1.03,0.97,0.94,0.01,0.01,0,2.97,49.2,BRD
SBI10-Ol-6,1.75,1.03,1.09,0.82,0.01,0.01,0,2.97,43.1,BRD
Average,1.73,1.04,1.02,0.89,0.01,0.01,0,2.96,46.6,BRD
B364-Ol-1,1.61,1,0.55,1.44,0.01,0,0,3,72.3,BRD
B364-Ol-2,1.59,1,0.55,1.44,0.01,0,0,3,72.2,BRD
B364-Ol-3,1.62,0.99,0.56,1.44,0.01,0.01,0,3.01,72,BRD
B364-Ol-4,1.6,1,0.55,1.44,0.01,0.01,0,3,72.5,BRD
B364-Ol-5,1.6,0.99,0.55,1.45,0.01,0,0,3.01,72.7,BRD
B364-Ol-6,1.62,0.99,0.56,1.46,0.01,0,0,3.01,72.4,BRD
