X,Y,ValueId,PolyId,AREA,PERIMETER,STRPT#,STRPT-ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE,POLYGONID,SCALE,ANGLE
-91.09499018,47.49908114,114,4,0,0,4,114,,ST,A,MGS,20060601,643473,5262386,15,,F558.1,19900817,JDM,,NB:LM/FM:287A.NN2,IL,P,130,18,,0,73,0,230,0,1,0
-91.09640994,47.4965376,111,7,0,0,7,111,,ST,A,MGS,20060601,643373,5262101,15,,F559.1,19900817,JDM,,NB:LM/FM:287A.NN2,IL,P,152,32,,0,73,0,208,0,1,0
-91.10020035,47.49405627,108,10,0,0,10,108,,ST,A,MGS,20060601,643094,5261818,15,,F530.2,19900809,JDM,,NB:LM/FM:287A.NN1,IL,P,125,15,,0,73,0,235,0,1,0
-91.10305964,47.49174244,106,12,0,0,12,106,,ST,A,MGS,20060601,642885,5261555,15,,F530.1,19900809,JDM,,NB:LM/FM:287A.NN1,IL,P,116,24,,2,73,0,244,0,1,0
-91.09734834,47.49152152,105,13,0,0,13,105,,ST,A,MGS,20060601,643316,5261541,15,,F530.4,19900809,JDM,,NB:LM/FM:287A.NN1,IL,P,75,12,,0,73,0,285,0,1,0
-91.09981935,47.48938441,101,17,0,0,17,101,,ST,A,MGS,20060601,643135,5261299,15,,F529.1,19900809,JDM,,NB:LM/FM:287A.NN1,IL,P,37,23,,0,73,0,323,0,1,0
-91.10962323,47.48060827,85,33,0,0,33,85,,ST,A,MGS,20060601,642420,5260306,15,,F514.1,19900807,JDM,,NB:LM/FM:287A.NN1,IL,P,212,16,,1,73,12000,148,0,1,0
-90.9832485,47.4926637,110,8,0,0,8,110,,ST,A,MGS,20060601,651906,5261885,15,,,0,JCG,,,JB,P,160,23,,0,132,0,200,0,1,0
-91.08308291,47.45553965,51,67,0,0,67,51,,ST,A,MGS,20060601,644489,5257569,15,,,19670903,JCG,,NB:JCG1967.1/FM:LM QUAD,JB,P,100,15,,0,132,0,260,0,1,0
-91.12348218,47.42677986,27,91,0,0,91,27,,ST,A,MGS,20060601,641521,5254299,15,,F130,19670906,JCG,JCG,JCG 1967.1 FIELD NOTES,JB,P,215,5,,0,132,0,145,0,1,0
-91.09707492,47.41755552,16,102,0,0,102,16,,ST,A,MGS,20060601,643537,5253322,15,,LM040,20050913,JDM,,NB:JMLM/FM:LM-16,JB,P,120,22,,1,132,0,240,0,1,0
-91.12349435,47.41332935,9,109,0,0,109,9,,ST,A,MGS,20060601,641556,5252804,15,,,19920000,JCG,,MGS Misc. Map M-71,JB,P,125,13,,0,132,0,235,0,1,0
-91.08805943,47.47299529,79,39,0,0,39,79,,ST,A,MGS,20060601,644066,5259500,15,,F595.2,19930715,JDM,,NB:LM/FM:287A.NC2,VB,P,140,11,,0,124,0,220,0,1,0
-91.05585174,47.45981795,58,60,0,0,60,58,,ST,A,MGS,20060601,646529,5258096,15,,,19920000,JCG,,MGS Misc. Map M-71,VB,P,148,23,,1,122,200000,212,0,1,0
-91.08392699,47.45760843,54,64,0,0,64,54,,ST,A,MGS,20060601,644419,5257798,15,,,19670903,JCG,,NB:JCG1967.1/FM:LM QUAD,VB,P,155,8,,0,124,0,205,0,1,0
-91.06807813,47.44277116,40,78,0,0,78,40,,ST,A,MGS,20060601,645655,5256178,15,,LM057.3,20050922,JDM,,NB:JMLM/FM:LM-14,VB,P,142,25,,1,124,0,218,0,1,0
-91.09661941,47.41653249,15,103,0,0,103,15,,ST,A,MGS,20060601,643574,5253209,15,,LM039.1,20050913,JDM,,NB:JMLM/FM:LM-16,VB,P,188,57,,1,124,0,172,0,1,0
-90.96634108,47.49879413,117,1,0,0,1,117,,ST,A,MGS,20060601,653162,5262600,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,143,19,,1,124,12000,217,0,1,0
-90.96823222,47.4959524,113,5,0,0,5,113,,ST,A,MGS,20060601,653028,5262280,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,125,14,,1,124,200000,235,0,1,0
-90.96937745,47.49511382,112,6,0,0,6,112,,ST,A,MGS,20060601,652944,5262185,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,122,21,,1,124,12000,238,0,1,0
-90.97641939,47.49220944,109,9,0,0,9,109,,ST,A,MGS,20060601,652422,5261848,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,145,24,,1,124,12000,215,0,1,0
-90.98922444,47.48878079,104,14,0,0,14,104,,ST,A,MGS,20060601,651468,5261442,15,,LM100.1,20051024,JDM,,NB:JMLM/FM:LM5,VC,P,135,12,,1,124,0,225,0,1,0
-90.98325344,47.48740735,102,16,0,0,16,102,,ST,A,MGS,20060601,651921,5261301,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,148,14,,1,124,200000,212,0,1,0
-90.98032723,47.48633819,100,18,0,0,18,100,,ST,A,MGS,20060601,652145,5261188,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,145,21,,1,124,12000,215,0,1,0
-90.98099976,47.48586611,98,20,0,0,20,98,,ST,A,MGS,20060601,652095,5261134,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,190,25,,1,124,12000,170,0,1,0
-90.99450306,47.48122351,90,28,0,0,28,90,,ST,A,MGS,20060601,651092,5260592,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,123,27,,1,124,12000,237,0,1,0
-91.00659373,47.47312884,80,38,0,0,38,80,,ST,A,MGS,20060601,650204,5259669,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,125,18,,1,124,12000,235,0,1,0
-91.01394006,47.46903362,77,41,0,0,41,77,,ST,A,MGS,20060601,649662,5259200,15,,LM090.1,20051012,JDM,,NB:JMLM/FM:LM-11,VC,P,139,20,,2,124,0,221,0,1,0
-91.02966999,47.46719559,74,44,0,0,44,74,,ST,A,MGS,20060601,648482,5258965,15,,LM077.1,20051010,JDM,,NB:JMLM/FM:LM-10,VC,P,140,18,,3,124,0,220,0,1,0
-91.01930852,47.46678852,73,45,0,0,45,73,,ST,A,MGS,20060601,649264,5258940,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,135,16,,1,124,12000,225,0,1,0
-91.02668655,47.46237713,65,53,0,0,53,65,,ST,A,MGS,20060601,648720,5258435,15,,LM086.1,20051012,JDM,,NB:JMLM/FM:LM-10,VC,P,115,27,,1,124,0,245,0,1,0
-91.02991998,47.46026903,64,54,0,0,54,64,,ST,A,MGS,20060601,648482,5258195,15,,LM085.1,20051010,JDM,,NB:JMLM/FM:LM-10,VC,P,147,24,,1,124,0,213,0,1,0
-91.0308443,47.45963728,62,56,0,0,56,62,,ST,A,MGS,20060601,648415,5258123,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,115,27,,1,124,12000,245,0,1,0
-91.05156575,47.45986211,60,58,0,0,58,60,,ST,A,MGS,20060601,646852,5258109,15,,LM068.4,20050927,JDM,,NB:JMLM/FM:LM-9,VC,P,150,20,,1,124,0,210,0,1,0
-91.03257886,47.45823634,56,62,0,0,62,56,,ST,A,MGS,20060601,648288,5257964,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,95,10,,1,124,200000,265,0,1,0
