X,Y,ValueId,PolyId,AREA,PERIMETER,STRPT#,STRPT-ID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-90.70721107,47.63590216,23,0,0,0,23,23,ST,A,MGS,20070430,672227,5278380,15,,L065.04,20060928,TJB,,,SB,P,120,18,,0,80,0,240
-90.69967917,47.63837233,29,0,0,0,29,29,ST,A,MGS,20070430,672785,5278671,15,,,19670908,JCG,,,VB,P,135,10,,1,80,0,225
-90.74395763,47.61981583,4,0,0,0,4,4,ST,A,MGS,20070430,669519,5276511,15,,,19670908,JCG,,,VC,P,150,29,,1,80,0,210
-90.74322407,47.6204429,5,0,0,0,5,5,ST,A,MGS,20070430,669572,5276582,15,,,19670908,JCG,,,VC,P,145,10,,1,80,0,215
-90.73856075,47.62278055,6,0,0,0,6,6,ST,A,MGS,20070430,669915,5276852,15,,,19670908,JCG,,,VC,P,145,9,,1,80,0,215
-90.73620582,47.62401709,7,0,0,0,7,7,ST,A,MGS,20070430,670088,5276995,15,,,19670908,JCG,,,VC,P,135,11,,1,80,0,225
-90.73700114,47.6241492,8,0,0,0,8,8,ST,A,MGS,20070430,670028,5277008,15,,,19820000,JCG,,MGS Two Harbors Sheet,VC,P,155,14,,1,80,200000,205
-90.73502894,47.62502618,9,0,0,0,9,9,ST,A,MGS,20070430,670173,5277110,15,,L019.03,20060809,TJB,,,VC,P,130,8,,0,80,0,230
-90.72820294,47.62792623,14,0,0,0,14,14,ST,A,MGS,20070430,670676,5277447,15,,,19670908,JCG,,,VC,P,165,7,,1,80,0,195
-90.72625511,47.62861102,15,0,0,0,15,15,ST,A,MGS,20070430,670820,5277527,15,,,19670908,JCG,,,VC,P,155,10,,1,80,0,205
-90.72448756,47.62886258,16,0,0,0,16,16,ST,A,MGS,20070430,670952,5277559,15,,,19670908,JCG,,,VC,P,165,11,,1,80,0,195
-90.7199912,47.63011087,17,0,0,0,17,17,ST,A,MGS,20070430,671286,5277708,15,,,19670908,JCG,,,VC,P,110,12,,1,80,0,250
-90.71901513,47.6302689,18,0,0,0,18,18,ST,A,MGS,20070430,671359,5277728,15,,,19670908,JCG,,,VC,P,145,12,,1,80,0,215
-90.71642326,47.63136383,20,0,0,0,20,20,ST,A,MGS,20070430,671550,5277855,15,,,19670908,JCG,,,VC,P,150,15,,1,80,0,210
-90.7139606,47.63273426,21,0,0,0,21,21,ST,A,MGS,20070430,671730,5278013,15,,,19670908,JCG,,,VC,P,170,16,,1,80,0,190
-90.70400004,47.63654807,25,0,0,0,25,25,ST,A,MGS,20070430,672466,5278459,15,,,19670908,JCG,,,VC,P,110,10,,1,80,0,250
-90.70271637,47.63680898,26,0,0,0,26,26,ST,A,MGS,20070430,672562,5278491,15,,,19670908,JCG,,,VC,P,150,10,,1,80,0,210
-90.70060929,47.63788597,28,0,0,0,28,28,ST,A,MGS,20070430,672716,5278615,15,,,19670908,JCG,,,VC,P,110,10,,1,80,0,250
-90.70932757,47.63968515,30,0,0,0,30,30,ST,A,MGS,20070430,672056,5278796,15,,,19820000,JCG,,MGS Two Harbors Sheet,VC,P,155,10,,1,80,200000,205
-90.68491314,47.64348019,34,0,0,0,34,34,ST,A,MGS,20070430,673877,5279272,15,,,19670909,JCG,,,VC,P,155,12,,1,80,0,205
-90.68397425,47.64361408,35,0,0,0,35,35,ST,A,MGS,20070430,673947,5279289,15,,L065.02,20060928,TJB,,,VC,P,150,12,,0,80,0,210
