X,Y,AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-92.0799692777178,47.5180337113031,0.00000,0.00000,"1","1",,ST,A12,MGS,"19970318","569266","5263144","15",,MA006.00.1,"19960604",JDM,,NB:JMA/FM:318D.C5,JB,P,"135","15","3","1","132","12000","225"
-92.0999232704819,47.522034983942,0.00000,0.00000,"2","2",,ST,A12,MGS,"19970318","567759","5263571","15",,MA010.02.1,"19960605",JDM,,NB:JMA/FM:318D.W5,LI,L,"60","0","3","1","161","12000","300"
-92.0963937253481,47.5272068392689,0.00000,0.00000,"3","3",,ST,A12,MGS,"19970318","568018","5264149","15",,MA016.01.1,"19960605",JDM,,NB:JMA/FM:318D.W4,IL,P,"75","37","4","1","103","12000","285"
-92.1047608835922,47.5213598301001,0.00000,0.00000,"4","4",,ST,A12,MGS,"19970318","567395","5263491","15",,MA018.00.1,"19960606",JDM,,NB:JMA/FM:318D.W5,IL,P,"78","12","3","1","103","200000","282"
-92.1067890869814,47.5228715724973,0.00000,0.00000,"5","5",,ST,A12,MGS,"19970318","567241","5263658","15",,MA021.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IL,P,"45","28","3","1","103","12000","315"
-92.1085604163852,47.5273888251168,0.00000,0.00000,"6","6",,ST,A12,MGS,"19970318","567102","5264158","15",,MA025.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IM,P,"135","12","3","1","73","12000","225"
-92.1082895921545,47.5304735545093,0.00000,0.00000,"7","7",,ST,A12,MGS,"19970318","567118","5264501","15",,MA027.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IM,P,"67","28","2","2","73","12000","293"
-92.107551065957,47.5316155926587,0.00000,0.00000,"8","8",,ST,A12,MGS,"19970318","567172","5264629","15",,MA028.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IM,P,"60","22","3","1","73","12000","300"
-92.1041312880849,47.5356666105384,0.00000,0.00000,"9","9",,ST,A12,MGS,"19970318","567424","5265082","15",,MA030.02.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IM,P,"100","21","4","1","73","12000","260"
-92.1058603300846,47.5351756841825,0.00000,0.00000,"10","10",,ST,A12,MGS,"19970318","567295","5265026","15",,MA031.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IL,P,"95","15","5","1","103","12000","265"
-92.110284170731,47.5332103707395,0.00000,0.00000,"11","11",,ST,A12,MGS,"19970318","566965","5264804","15",,MA033.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IT,P,"70","25","1","1","73","12000","290"
-92.1092377583241,47.5313593544584,0.00000,0.00000,"12","12",,ST,A12,MGS,"19970318","567046","5264599","15",,MA034.00.1,"19960606",JDM,,NB:JMA/FM:318D.W4,IM,P,"150","24","2","1","73","12000","210"
-92.1057027476943,47.5308796514845,0.00000,0.00000,"13","13",,ST,A12,MGS,"19970318","567312","5264549","15",,MA037.00.1,"19960607",JDM,,NB:JMA/FM:318D.W4,IL,P,"120","8","4","1","103","12000","240"
-92.1037312179747,47.532011464259,0.00000,0.00000,"14","14",,ST,A12,MGS,"19970318","567459","5264676","15",,MA038.00.1,"19960607",JDM,,NB:JMA/FM:318D.W4,IL,P,"95","20","3","1","103","12000","265"
-92.1014228917956,47.5319067652029,0.00000,0.00000,"15","15",,ST,A12,MGS,"19970318","567633","5264666","15",,MA039.00.1,"19960607",JDM,,NB:JMA/FM:318D.W4,IL,P,"360","10","4","1","103","12000","0"
-92.0992987619155,47.5314727967596,0.00000,0.00000,"16","16",,ST,A12,MGS,"19970318","567794","5264620","15",,MA040.00.1,"19960607",JDM,,NB:JMA/FM:318D.W4,IL,P,"205","24","3","1","103","12000","155"
-92.0976077230964,47.5317372899485,0.00000,0.00000,"17","17",,ST,A12,MGS,"19970318","567921","5264651","15",,MA041.00.1,"19960607",JDM,,NB:JMA/FM:318D.W4,IL,P,"112","27","2","1","103","12000","248"
-92.0744503914869,47.5225967158287,0.00000,0.00000,"18","18",,ST,A12,MGS,"19970318","569676","5263656","15",,MA055.00.1,"19960612",JDM,MJS,NB:JMA/FM:318D.C5,IL,P,"280","5","4","1","103","12000","80"
-92.072631544211,47.5254033988727,0.00000,0.00000,"19","19",,ST,A12,MGS,"19970318","569809","5263969","15",,MA062.00.1,"19960612",JDM,MJS,NB:JMA/FM:318D.C5,IL,P,"160","20","3","1","103","12000","200"
-92.0716109940621,47.5268184812143,0.00000,0.00000,"20","20",,ST,A12,MGS,"19970318","569884","5264127","15",,MA063.00.1,"19960612",MJS,,NB:JMA/FM:318D.C5,IL,P,"80","6","3","1","103","12000","280"
-92.0660998531588,47.5278224763437,0.00000,0.00000,"21","21",,ST,A12,MGS,"19970318","570297","5264244","15",,MA066.00.1,"19960612",JDM,MJS,NB:JMA/FM:318D.C5,IL,P,"125","18","3","1","103","12000","235"
-92.1043208905053,47.5375469632112,0.00000,0.00000,"22","22",,ST,A12,MGS,"19970318","567408","5265291","15",,MA077.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"165","12","4","1","103","12000","195"
-92.1002167201056,47.536772455343,0.00000,0.00000,"23","23",,ST,A12,MGS,"19970318","567718","5265208","15",,MA072.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"145","20","3","1","103","12000","215"
-92.1000967862778,47.537228154832,0.00000,0.00000,"24","24",,ST,A12,MGS,"19970318","567726","5265259","15",,MA072.00.2,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"75","15","5","1","103","12000","285"
-92.0993478819061,47.5399250015937,0.00000,0.00000,"25","25",,ST,A12,MGS,"19970318","567779","5265559","15",,MA074.01.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"30","25","3","1","103","12000","330"
-92.0995536397181,47.5410491043679,0.00000,0.00000,"26","26",,ST,A12,MGS,"19970318","567762","5265684","15",,MA075.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"110","28","3","1","103","12000","250"
-92.1003237996645,47.541178880046,0.00000,0.00000,"27","27",,ST,A12,MGS,"19970318","567704","5265698","15",,MA075.00.2,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"10","20","4","1","103","12000","350"
-92.0970770470111,47.540420555147,0.00000,0.00000,"28","28",,ST,A12,MGS,"19970318","567949","5265616","15",,MA076.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"150","5","4","1","103","12000","210"
-92.096537500678,47.539921978063,0.00000,0.00000,"29","29",,ST,A12,MGS,"19970318","567991","5265562","15",,MA076.01.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"225","20","5","1","103","12000","135"
-92.0961975675787,47.5392624504041,0.00000,0.00000,"30","30",,ST,A12,MGS,"19970318","568017","5265489","15",,MA077.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"65","6","4","1","103","12000","295"
-92.0903846191736,47.5365519176152,0.00000,0.00000,"31","31",,ST,A12,MGS,"19970318","568458","5265192","15",,MA080.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"140","70","3","1","103","12000","220"
-92.1000265037508,47.5347914272293,0.00000,0.00000,"32","32",,ST,A12,MGS,"19970318","567735","5264988","15",,MA084.00.1,"19960613",JDM,,NB:JMA/FM:318D.W4,IL,P,"90","25","3","1","103","12000","270"
-92.0859041066418,47.5425656108146,0.00000,0.00000,"33","33",,ST,A12,MGS,"19970318","568787","5265865","15",,MA090.00.1,"19960614",JDM,,NB:JMA/FM:318D.W4,IL,P,"243","20","4","1","103","12000","117"
-92.0856087432047,47.5433095123862,0.00000,0.00000,"34","34",,ST,A12,MGS,"19970318","568809","5265948","15",,MA090.01.1,"19960614",JDM,,NB:JMA/FM:318D.W4,IM,P,"210","26","3","1","73","12000","150"
