                                       ,Y,ValueId,PolyId,AREA,PERIMETER,STRPTS#,STRPTS-ID,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE,MGS_MRK,SYM_CODE2,MGSMRK
-91.55343366,47.23549332,1,0,0,0,1,1,0,0,,ST,A,MGS,20040501,609491,5232349,15,,THNE-1,20030804,TJB,,,GS,L,300,0,,0,2,24000,60,189,2,189
-91.43262889,47.20405108,32,0,0,0,29,32,0,0,,ST,A,MGS,20040501,618704,5229031,15,,SR033.01,20030814,TJB,,,GS,L,325,0,,0,2,100000,35,189,2,189
-91.43255046,47.20399601,33,0,0,0,30,33,0,0,,ST,A,MGS,20040501,618710,5229025,15,,SR033.01,20030814,TJB,,,GS,L,300,0,,0,2,100000,60,189,2,189
-91.38645779,47.23278172,40,0,0,0,37,40,0,0,,ST,A,MGS,20040501,622135,5232295,15,,SR038.02,20030819,TJB,,,GS,L,335,0,,0,2,24000,25,189,2,189
-91.38697401,47.22855962,41,0,0,0,38,41,0,0,,ST,A,MGS,20040501,622106,5231825,15,,SR039.03,20030819,TJB,,,GS,L,340,0,,0,2,24000,20,189,2,189
-91.37764733,47.22475194,42,0,0,0,39,42,0,0,,ST,A,MGS,20040501,622820,5231417,15,,SR038.05,20030819,TJB,,,GS,L,310,0,,0,2,24000,50,189,2,189
-91.37754944,47.22533547,45,0,0,0,42,45,0,0,,ST,A,MGS,20040501,622826,5231482,15,,SR041.02,20030820,TJB,,,GS,L,315,0,,0,2,24000,45,189,2,189
-91.38246208,47.24374423,46,0,0,0,43,46,0,0,,ST,A,MGS,20040501,622412,5233520,15,,,20030820,TJB,,,GS,L,335,0,,0,2,24000,25,189,2,189
-91.38671693,47.24173454,47,0,0,0,44,47,0,0,,ST,A,MGS,20040501,622095,5233290,15,,SR044.01,20030821,TJB,,,GS,L,335,0,,0,2,24000,25,189,2,189
-91.41363529,47.24085515,48,0,0,0,45,48,0,0,,ST,A,MGS,20040501,620060,5233150,15,,SR052.01,20030826,TJB,,,GS,L,335,0,,0,2,24000,25,189,2,189
-91.40901306,47.23691263,49,0,0,0,46,49,0,0,,ST,A,MGS,20040501,620418,5232719,15,,SR049.02,20030826,TJB,,,GS,L,320,0,,0,2,24000,40,189,2,189
-91.4341243,47.15953682,55,0,0,0,52,55,0,0,,ST,A,MGS,20040501,618690,5224082,15,,SR059.01,20030829,TJB,,,GS,L,322,0,,0,2,24000,38,189,2,189
-91.44564584,47.17271495,59,0,0,0,56,59,0,0,,ST,A,MGS,20040501,617788,5225529,15,,SR061.02,20030829,TJB,,,GS,L,300,0,,0,2,24000,60,189,2,189
-91.41863863,47.1763227,66,0,0,0,63,66,0,0,,ST,A,MGS,20040501,619826,5225971,15,,SR068.01,20030904,TJB,,,GS,L,307,0,,0,2,24000,53,189,2,189
-91.45646679,47.13898546,72,0,0,0,69,72,0,0,,ST,A,MGS,20040501,617042,5221765,15,,SR080.02,20030910,TJB,,,GS,L,255,0,,0,2,24000,105,189,2,189
-91.46140185,47.14157602,75,0,0,0,72,75,0,0,,ST,A,MGS,20040501,616662,5222045,15,,SR080.02,20030910,TJB,,,GS,L,250,0,,0,2,24000,110,189,2,189
