tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
BD1-1	BD1	0					   -1.8	    0.0	    0.0	   90.0	  -25.0	This study	SO-CMD-NORTH
BD1-2	BD1	0					   -8.0	    0.0	    0.0	   90.0	  -47.0	This study	SO-CMD-NORTH
BD1-3	BD1	0					  -31.3	    0.0	    0.0	   90.0	  -49.0	This study	SO-CMD-NORTH
BD1-4	BD1	0					  -47.7	    0.0	    0.0	   90.0	  -52.0	This study	SO-CMD-NORTH
BD1-5	BD1	0					  -44.8	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
BD1-6	BD1	0					  -89.8	    0.0	    0.0	   90.0	  -78.0	This study	SO-CMD-NORTH
BD1-7	BD1	0					  263.2	    0.0	    0.0	   90.0	  -75.0	This study	SO-CMD-NORTH
BD1-8	BD1	0					   13.2	    0.0	    0.0	   90.0	  -60.0	This study	SO-CMD-NORTH
BD1-9	BD1	0					  -10.8	    0.0	    0.0	   90.0	  -16.0	This study	SO-CMD-NORTH
BD1-10	BD1	0					  191.2	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
BD1-11	BD1	0					  197.2	    0.0	    0.0	   90.0	  -52.0	This study	SO-CMD-NORTH
BD1-12	BD1	0					  224.2	    0.0	    0.0	   90.0	  -56.0	This study	SO-CMD-NORTH
BD1-13	BD1	0					  228.2	    0.0	    0.0	   90.0	  -60.0	This study	SO-CMD-NORTH
BD1-14	BD1	0					  228.2	    0.0	    0.0	   90.0	  -60.0	This study	SO-CMD-NORTH
BD1-15	BD1	0					  238.2	    0.0	    0.0	   90.0	  -58.0	This study	SO-CMD-NORTH
BD2-1	BD2	0					  -40.3	    0.0	    0.0	   90.0	  -62.0	This study	SO-CMD-NORTH
BD2-2	BD2	0					   -4.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
BD2-3	BD2	0					   -0.3	    0.0	    0.0	   90.0	  -81.0	This study	SO-CMD-NORTH
BD2-4	BD2	0					  -25.3	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD2-5	BD2	0					  -23.3	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD2-6	BD2	0					  -17.3	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD2-7	BD2	0					  -14.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
BD2-8	BD2	0					  -15.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
BD3-1	BD3	0					  -36.2	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD3-2	BD3	0					  -38.0	    0.0	    0.0	   90.0	  -62.0	This study	SO-CMD-NORTH
BD3-3	BD3	0					  -42.4	    0.0	    0.0	   90.0	  -76.0	This study	SO-CMD-NORTH
BD3-4	BD3	0					  -42.0	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD3-5	BD3	0					  -39.2	    0.0	    0.0	   90.0	  -61.0	This study	SO-CMD-NORTH
BD3-6	BD3	0					  -48.5	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
BD3-7	BD3	0					  -60.7	    0.0	    0.0	   90.0	  -63.0	This study	SO-CMD-NORTH
BD3-8	BD3	0					  -67.3	    0.0	    0.0	   90.0	  -54.0	This study	SO-CMD-NORTH
BD4-1	BD4	0					  -21.9	    0.0	    0.0	   90.0	  -39.0	This study	SO-CMD-NORTH
BD4-2	BD4	0					   -5.9	    0.0	    0.0	   90.0	  -44.0	This study	SO-CMD-NORTH
BD4-3	BD4	0					  -23.9	    0.0	    0.0	   90.0	  -41.0	This study	SO-CMD-NORTH
BD4-4	BD4	0					  -23.9	    0.0	    0.0	   90.0	  -52.0	This study	SO-CMD-NORTH
BD4-5	BD4	0					  -41.7	    0.0	    0.0	   90.0	  -67.0	This study	SO-CMD-NORTH
BD4-6	BD4	0					  -39.1	    0.0	    0.0	   90.0	  -86.0	This study	SO-CMD-NORTH
