tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
BD1-1	BD1	0			Igneous:Intrusive	Diabase	Diabase		358.2	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
BD1-2	BD1	0			Igneous:Intrusive	Diabase	Diabase		352.0	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
BD1-3	BD1	0			Igneous:Intrusive	Diabase	Diabase		328.7	0.0	0	90.0	-49	This study	SO-CMD-NORTH	g	i
BD1-4	BD1	0			Igneous:Intrusive	Diabase	Diabase		312.3	0.0	0	90.0	-52	This study	SO-CMD-NORTH	g	i
BD1-5	BD1	0			Igneous:Intrusive	Diabase	Diabase		315.2	0.0	0	90.0	-55	This study	SO-CMD-NORTH	g	i
BD1-6	BD1	0			Igneous:Intrusive	Diabase	Diabase		270.2	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD1-7	BD1	0			Igneous:Intrusive	Diabase	Diabase		263.2	0.0	0	90.0	-75	This study	SO-CMD-NORTH	g	i
BD1-8	BD1	0			Igneous:Intrusive	Diabase	Diabase		13.2	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD1-9	BD1	0			Igneous:Intrusive	Diabase	Diabase		349.2	0.0	0	90.0	-16	This study	SO-CMD-NORTH	g	i
BD1-10	BD1	0			Igneous:Intrusive	Diabase	Diabase		191.2	0.0	0	90.0	-55	This study	SO-CMD-NORTH	g	i
BD1-11	BD1	0			Igneous:Intrusive	Diabase	Diabase		197.2	0.0	0	90.0	-52	This study	SO-CMD-NORTH	g	i
BD1-12	BD1	0			Igneous:Intrusive	Diabase	Diabase		224.2	0.0	0	90.0	-56	This study	SO-CMD-NORTH	g	i
BD1-13	BD1	0			Igneous:Intrusive	Diabase	Diabase		228.2	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD1-14	BD1	0			Igneous:Intrusive	Diabase	Diabase		228.2	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD1-15	BD1	0			Igneous:Intrusive	Diabase	Diabase		238.2	0.0	0	90.0	-58	This study	SO-CMD-NORTH	g	i
BD2-1	BD2	0			Igneous:Intrusive	Diabase	Diabase		319.7	0.0	0	90.0	-62	This study	SO-CMD-NORTH	g	i
BD2-2	BD2	0			Igneous:Intrusive	Diabase	Diabase		355.7	0.0	0	90.0	-71	This study	SO-CMD-NORTH	g	i
BD2-3	BD2	0			Igneous:Intrusive	Diabase	Diabase		359.7	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
BD2-4	BD2	0			Igneous:Intrusive	Diabase	Diabase		334.7	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD2-5	BD2	0			Igneous:Intrusive	Diabase	Diabase		336.7	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD2-6	BD2	0			Igneous:Intrusive	Diabase	Diabase		342.7	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD2-7	BD2	0			Igneous:Intrusive	Diabase	Diabase		345.7	0.0	0	90.0	-71	This study	SO-CMD-NORTH	g	i
BD2-8	BD2	0			Igneous:Intrusive	Diabase	Diabase		344.7	0.0	0	90.0	-71	This study	SO-CMD-NORTH	g	i
BD3-1	BD3	0			Igneous:Intrusive	Diabase	Diabase		323.8	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD3-2	BD3	0			Igneous:Intrusive	Diabase	Diabase		322.0	0.0	0	90.0	-62	This study	SO-CMD-NORTH	g	i
BD3-3	BD3	0			Igneous:Intrusive	Diabase	Diabase		317.6	0.0	0	90.0	-76	This study	SO-CMD-NORTH	g	i
BD3-4	BD3	0			Igneous:Intrusive	Diabase	Diabase		318.0	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD3-5	BD3	0			Igneous:Intrusive	Diabase	Diabase		320.8	0.0	0	90.0	-61	This study	SO-CMD-NORTH	g	i
BD3-6	BD3	0			Igneous:Intrusive	Diabase	Diabase		311.5	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD3-7	BD3	0			Igneous:Intrusive	Diabase	Diabase		299.3	0.0	0	90.0	-63	This study	SO-CMD-NORTH	g	i
BD3-8	BD3	0			Igneous:Intrusive	Diabase	Diabase		292.7	0.0	0	90.0	-54	This study	SO-CMD-NORTH	g	i
BD4-1	BD4	0			Igneous:Intrusive	Diabase	Diabase		338.1	0.0	0	90.0	-39	This study	SO-CMD-NORTH	g	i
BD4-2	BD4	0			Igneous:Intrusive	Diabase	Diabase		354.1	0.0	0	90.0	-44	This study	SO-CMD-NORTH	g	i
BD4-3	BD4	0			Igneous:Intrusive	Diabase	Diabase		336.1	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
BD4-4	BD4	0			Igneous:Intrusive	Diabase	Diabase		336.1	0.0	0	90.0	-52	This study	SO-CMD-NORTH	g	i
BD4-5	BD4	0			Igneous:Intrusive	Diabase	Diabase		318.3	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
BD4-6	BD4	0			Igneous:Intrusive	Diabase	Diabase		320.9	0.0	0	90.0	-86	This study	SO-CMD-NORTH	g	i
BD4-7	BD4	0			Igneous:Intrusive	Diabase	Diabase		323.1	0.0	0	90.0	-80	This study	SO-CMD-NORTH	g	i
BD4-8	BD4	0			Igneous:Intrusive	Diabase	Diabase		325.7	0.0	0	90.0	-74	This study	SO-CMD-NORTH	g	i
BD5-1	BD5	0			Igneous:Intrusive	Diabase	Diabase		302.5	0.0	0	90.0	-63	This study	SO-CMD-NORTH	g	i
BD5-2	BD5	0			Igneous:Intrusive	Diabase	Diabase		308.4	0.0	0	90.0	-51	This study	SO-CMD-NORTH	g	i
BD5-3	BD5	0			Igneous:Intrusive	Diabase	Diabase		294.4	0.0	0	90.0	-57	This study	SO-CMD-NORTH	g	i
BD5-4	BD5	0			Igneous:Intrusive	Diabase	Diabase		293.9	0.0	0	90.0	-59	This study	SO-CMD-NORTH	g	i
BD5-5	BD5	0			Igneous:Intrusive	Diabase	Diabase		285.3	0.0	0	90.0	-84	This study	SO-CMD-NORTH	g	i
BD5-6	BD5	0			Igneous:Intrusive	Diabase	Diabase		290.2	0.0	0	90.0	-59	This study	SO-CMD-NORTH	g	i
BD5-7	BD5	0			Igneous:Intrusive	Diabase	Diabase		292.7	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD5-8	BD5	0			Igneous:Intrusive	Diabase	Diabase		273.5	0.0	0	90.0	-76	This study	SO-CMD-NORTH	g	i
