site,lat,lon,dir_n_samples,dir_dec,dir_inc,dir_k,dir_alpha95,vgp_lat,vgp_lon
AX1,47.2005,-91.3794,8,288.8,54.9,539,2.4,37.1,193.2
AX2,47.1979,-91.3826,9,277.2,42.6,145,4.3,22.6,191.1
AX3,47.5845,-90.8558,10,285.1,38.6,69,5.9,25.9,183.7
AX4,47.5826,-90.8569,7,288.3,30.7,91,6.4,24.4,177.2
AX5-10,47.5827,-90.8562,14,280.7,38.1,170,2.5,22.7,186.5
AX11,47.3700,-91.1665,8,281.7,35.2,308,3.2,22.0,184.1
AX12,47.2921,-91.2601,6,297.3,55.2,36,11.3,43.0,188.4
AX13,47.3689,-91.1670,9,287.3,35.1,434,2.5,25.7,180.0
AX14,47.2930,-91.2593,7,293.9,50.8,257,3.8,38.2,186.1
AX15,47.2887,-91.2638,8,275.8,53.5,86,6.0,27.9,199.8
AX16,47.2889,-91.2637,8,265.8,49.2,397,2.8,19.0,202.9
AX17,47.2891,-91.2634,8,261.6,59.6,642,2.2,23.7,213.5
AX18,47.2891,-91.2632,9,276.0,56.9,542,2.2,30.2,202.8
AX19,47.2632,-91.2933,8,290.7,48.2,699,2.1,34.6,186.0
AX20,47.2666,-91.2884,5,290.0,56.7,271,4.7,39.0,194.5
AX21,47.2685,-91.2910,8,299.9,50.5,783,2.0,42.1,181.7
AX22,47.4113,-91.1592,9,293.8,55.7,209,3.6,41.0,191.1
