,site,lat,lon,dir_n_samples,dir_dec,dir_inc,dir_k,dir_alpha95,vgp_lat,vgp_lon
44,BD1,47.200436,-91.379216,14,293.0,41.0,582.0,1.6,32.4,179.2
46,BD10,47.411406,-91.159176,10,297.0,46.2,338.0,2.6,37.8,180.0
48,BD11,47.368044,-91.27416,8,296.4,41.7,429.0,2.7,35.1,177.1
50,BD12,47.30480900000001,-91.328796,8,288.8,38.1,141.0,4.7,28.1,180.4
52,BD13,47.480383,-91.123713,8,280.4,22.4,341.0,3.0,15.6,179.2
56,BD15,47.700439,-90.639617,7,300.6,4.1,201.0,4.3,21.6,157.1
60,BD17,47.373971,-91.164446,8,295.2,28.4,559.0,2.3,28.1,170.6
62,BD2,47.582703,-90.856288,8,286.6,22.6,123.0,5.0,19.8,174.9
65,BD3,47.368922,-91.167418,7,287.7,29.4,248.0,3.8,23.4,176.9
68,BD4,47.291835,-91.26039,8,300.2,40.7,47.0,8.2,37.1,173.6
70,BD5,47.288661,-91.26365,8,282.7,44.7,327.0,3.1,27.4,188.9
72,BD6,47.263413,-91.292925,9,298.9,34.6,74.0,6.0,33.3,170.8
74,BD7,47.26661,-91.288383,7,292.1,53.3,346.0,3.2,38.4,189.6
76,BD8,47.212553,-91.356198,10,287.9,52.8,300.0,2.8,35.3,191.8
78,BD9,47.224252,-91.347111,7,277.8,34.2,53.0,8.4,18.9,186.2
